ID,Followers,Answers
20151106123146AAdjMMe,0,8
20151106121430AAhpoxm,0,10
20151106120707AAQ87YK,0,5
20151106120423AAvMQGz,0,3
20151106104735AAkKwmo,0,9
20151106100355AAdmdk3,1,9
20151106094933AAonFs3,0,4
20151106094124AAd57UL,0,6
20151106085943AA3DcJE,0,7
20151106085053AAyflLI,0,8
20151106083509AAMRDH0,0,8
20151106075500AAlWMHb,0,9
20151106045916AAQKkvu,0,8
20151106043352AASUr3G,0,10
20151106023427AAT18Bx,2,10
20151106012253AAzxYx8,0,7
20151105204710AArb1Gz,0,3
20151105200736AAXGFBM,0,4
20151105190143AAqgsQ6,0,4
20151105181218AA9Rdx0,0,5
20151105181135AAY45s4,0,5
20151105180852AAr2PTL,0,10
20151105173854AAEdK1s,0,5
20151105144901AA6pBll,1,4
20151105144517AAEHyjB,0,6
20151105125644AA5LsYC,0,10
20151105120332AAH4OKs,0,5
20151105111226AAj2nMv,0,4
20151105110805AAp7SD5,0,2
20151105091112AA3PTCG,0,6
20151105081244AAU6nTj,0,8
20151105080812AAOs2pm,0,5
20151105065943AAyn6JT,0,9
20151105064858AADkD73,0,8
20151105064058AACIxxT,1,9
20151105062511AAWjJkh,0,10
20151105061856AAVoykr,1,9
20151105055721AAr5Xvp,0,9
20151105032436AA8in3N,0,8
20151105022609AAIsBLx,0,10
20151105014257AAlmMTF,1,9
20151105013125AAN9yKl,0,3
20151104230233AAXwhfd,0,10
20151104224300AAojX0F,0,6
20151104224049AAAGyAd,0,7
20151104221645AAYuJi4,0,9
20151104211045AASpPuG,0,8
20151104204208AA7usr6,0,10
20151104201026AAjqbEQ,0,10
20151104192321AAjrebP,1,9
20151104191631AAzIQyN,0,3
20151104191029AAeGLqL,0,10
20151104181711AA5fA4Z,0,6
20151104181000AA2tITs,0,4
20151104180802AA1NjiD,0,5
20151104174404AAiJfxr,0,9
20151104170617AARn9Ke,0,9
20151104165004AAEFIUv,0,10
20151104164953AABH8y1,0,7
20151104155939AAf81T4,0,8
20151104155802AAR82Mw,0,9
20151104154926AAQNzx9,0,4
20151104152945AANNXjf,0,10
20151104151339AAxPdDj,0,4
20151104150624AA99MxF,0,6
20151104150013AA8XjZa,0,8
20151104141737AAmhhDX,0,9
20151104141402AAiCFV6,0,9
20151104133739AAFqCBI,0,10
20151104125601AA3W1mr,0,3
20151104123009AAdqUV4,0,10
20151104121139AA5yUys,0,10
20151104120656AAuum0X,0,2
20151104115235AAkN0NG,1,7
20151104114000AANlJNT,0,6
20151104113417AA95dIc,0,6
20151104113159AAEolgq,2,9
